correlation_id,event_category,attack_type,attack_signature,protocol,traffic_type,mitre_tactic,kill_chain_stage,failed_login_attempts,request_rate_per_min,ids_ips_alert,malware_indicator,has_threat_family,os_family,asset_criticality,log_source,firewall_action,severity,evidence_role,anomaly_score,label,mitre_t1078,mitre_t1078_004,mitre_t1566_002,mitre_t1566,mitre_t1110,mitre_t1133,mitre_t1566_001,mitre_t1110_003,mitre_t1110_001,mitre_t1071,mitre_t1046,mitre_t1087,mitre_t1087_002,mitre_t1190,mitre_t1098,mitre_t1210,mitre_t1059_005,mitre_t1003,mitre_t1559,mitre_t1568,mitre_t1008,mitre_t1106,mitre_t1030,mitre_t1204_002,mitre_t1105,mitre_t1071_001,mitre_t1059_001,mitre_t1027,mitre_t1012,mitre_t1552_002,mitre_t1048,mitre_t1059_003,mitre_t1027_002,mitre_t1027_005,mitre_t1595,mitre_t1018,mitre_t1021,mitre_t1005,mitre_t1041,mitre_t1135,mitre_t1016,mitre_t1569_002,mitre_t1007,mitre_t1047,mitre_t1049,mitre_t1570,mitre_t1543_003,mitre_t1485,mitre_t1021_002,mitre_t1055,mitre_t1539,incident_evidence_count,incident_max_anomaly,incident_mean_anomaly,incident_std_anomaly,incident_category_count,incident_log_source_count,incident_kill_chain_diversity,incident_unique_protocols,incident_mitre_total,incident_has_high_asset,incident_has_confirmed
28710,malware_activity,Malware,Malware Execution Detected,TCP,HTTP,Execution,Exploitation,0,54.92,Confirmed malicious indicator,Yes,0,5,Low,SIEM,unknown,medium,related,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0.39999999999999997,0.10954451150103324,1,1,1,1,0.0,1,1
108613,malware_activity,Malware,Malware Execution Detected,TCP,HTTP,Execution,Exploitation,0,40.14,Confirmed malicious indicator,Yes,1,5,Low,WAF,unknown,medium,related,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.0,1,1,1,1,0.0,0,1
62834,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,6,19.75,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,1,1,1,1,4.0,0,0
143,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,3,7.76,unknown,No,0,5,Medium,EDR,unknown,unknown,related,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0.2,0.0004175365344467641,0.009138233247699077,3,3,3,1,670.0,0,0
204,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,2,23.31,unknown,No,0,5,Medium,EDR,unknown,unknown,impacted,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0.0,0.0,0.0,2,3,2,1,626.0,0,0
5365,intrusion_attempt,Initial Compromise,Phishing Campaign,TCP,SSH,Initial Access,Initial Access,10,14.66,No alert,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.2,0.04615384615384616,0.08770580193070293,3,3,3,2,9.0,0,0
30423,other,Unknown,Generic Security Alert,TCP,TCP,Unknown,Unknown,0,15.88,Confirmed malicious indicator,Yes,1,5,Low,SIEM,unknown,medium,related,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0.5,0.0,1,1,1,1,0.0,0,1
148917,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,32.78,Suspicious pattern,Suspicious,0,5,Medium,EDR,unknown,medium,impacted,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0,1,1,1,1,0.0,0,0
13742,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,23.58,Suspicious pattern,Suspicious,0,5,Low,EDR,unknown,medium,related,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.3,0.3,0.0,1,1,1,1,0.0,1,0
95,intrusion_attempt,Initial Compromise,Valid Account Abuse,TCP,SSH,Initial Access,Initial Access,2,7.65,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0.0,0.0,0.0,2,3,2,1,775.0,0,0
6134,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,23.81,Suspicious pattern,Suspicious,0,5,Low,EDR,unknown,medium,related,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.3,0.24545454545454543,0.12135597524338357,1,1,1,1,0.0,0,0
388,intrusion_attempt,Initial Compromise,External Remote Services Access,TCP,SSH,Initial Access,Initial Access,3,34.93,unknown,No,0,5,High,EDR,unknown,unknown,impacted,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0.2,0.0008163265306122449,0.012777531299998802,1,1,1,1,245.0,1,0
33701,credential_access,Credential Theft,Credential Harvesting Activity,TCP,LDAP,Credential Access,Credential Access,7,13.85,Suspicious pattern,Suspicious,0,0,High,SIEM,unknown,medium,impacted,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0.075,0.15000000000000002,2,3,2,1,2.0,1,0
292,intrusion_attempt,Initial Compromise,Valid Account Abuse,TCP,SSH,Initial Access,Initial Access,2,23.35,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0.0,0.0,0.0,2,3,2,1,609.0,0,0
251,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,8.97,Suspicious pattern,Suspicious,0,5,Low,EDR,unknown,medium,related,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0.3,0.2865771812080537,0.06209104928974924,1,1,1,1,0.0,1,0
2397,impact,Impact,System or Data Impact Activity,TCP,TCP,Impact,Impact,0,50.61,unknown,No,0,5,Low,IPS,unknown,unknown,related,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.0,1,1,1,1,0.0,0,0
108316,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,7,28.52,No alert,No,0,5,Medium,EDR,unknown,unknown,impacted,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1,1,1,1,4.0,0,0
44887,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,1,22.53,No alert,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.2,0.28284271247461906,1,1,1,1,2.0,0,1
177429,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,20.85,Suspicious pattern,Suspicious,0,5,Medium,EDR,unknown,medium,impacted,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0,1,1,1,1,0.0,0,0
198808,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,9,29.2,unknown,No,0,5,Low,SIEM,unknown,unknown,related,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,1,1,1,0.0,0,0
45634,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,8.62,Suspicious pattern,Suspicious,0,5,Low,WAF,unknown,medium,related,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.3,0.0,1,1,1,1,0.0,0,0
45021,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,1,26.36,Confirmed malicious indicator,Yes,0,5,Low,EDR,unknown,critical,related,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0.30000000000000004,0.2,1,1,1,1,4.0,0,1
174517,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,10,29.27,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,1,1,1,0.0,0,0
57076,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,20.42,Suspicious pattern,Suspicious,0,5,Medium,EDR,unknown,medium,impacted,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.3,0.0,1,1,1,1,0.0,0,0
4226,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,34.99,unknown,No,0,5,Low,SIEM,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,1,1,1,1,0.0,1,0
10559,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,120.72,unknown,No,0,5,Low,IPS,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,1,1,1,1,0.0,0,0
64,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,50.73,unknown,No,0,5,Low,Firewall,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0.0,0.0,0.0,1,3,1,1,0.0,1,0
17304,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,103.16,unknown,No,0,5,Low,IPS,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,1,1,1,1,0.0,0,0
19113,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,21.91,Suspicious pattern,Suspicious,0,5,Low,EDR,unknown,medium,related,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.3,0.0,1,1,1,1,0.0,0,0
4276,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,1,10.23,Confirmed malicious indicator,Yes,0,5,Low,EDR,unknown,critical,related,0.4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4,0.1,0.17770466332772772,1,1,1,1,20.0,0,1
127213,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,120.42,unknown,No,0,5,Low,SIEM,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,1,1,1,0.0,0,0
202924,execution,Code Execution,Malicious Code Execution Detected,TCP,HTTP,Execution,Exploitation,0,13.81,unknown,No,0,5,Medium,EDR,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,1,1,1,0.0,0,0
7737,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,17.27,Suspicious pattern,Suspicious,0,5,Medium,EDR,unknown,medium,impacted,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.3,0.25,0.1224744871391589,2,2,2,2,0.0,1,0
11857,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,91.3,unknown,No,0,5,Medium,WAF,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,2,2,2,2,1.0,0,0
116944,intrusion_attempt,Initial Compromise,Phishing Campaign,TCP,SSH,Initial Access,Initial Access,10,7.38,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1,0.14142135623730953,1,1,1,1,2.0,0,0
1409,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,3,26.73,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.0,0.0,0.0,2,2,2,1,33.0,0,0
1806,command_and_control,C2 Communication,Beaconing to C2 Infrastructure,TCP,HTTPS,Command and Control,Command & Control,0,196.48,unknown,No,0,5,Low,Firewall,unknown,unknown,related,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.0,0.0,0.0,1,1,1,1,72.0,0,0
151318,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,121.77,unknown,No,0,5,Low,SIEM,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,1,1,1,0.0,0,0
20,data_exfiltration,Data Exfiltration,Data Exfiltration Attempt,UDP,DNS,Exfiltration,Exfiltration,0,67.62,unknown,No,0,5,Low,SIEM,unknown,unknown,impacted,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0.0,0.0,0.0,2,2,2,2,0.0,1,0
20143,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,27.22,Suspicious pattern,Suspicious,0,5,Low,EDR,unknown,medium,related,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,0.3,0.0,1,1,1,1,0.0,1,0
1692,suspicious_activity,Suspicious Activity,Anomalous Behavior Alert,TCP,TCP,Discovery,Unknown,0,47.22,Suspicious pattern,Suspicious,0,5,Medium,EDR,unknown,medium,related,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.3,0.03461538461538461,0.09774377808252632,2,2,2,1,0.0,0,0
234,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,4,31.2,unknown,No,0,5,Low,EDR,unknown,unknown,related,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0.3,0.0016632016632016633,0.021343882743337268,4,4,4,1,564.0,0,0
316336,command_and_control,C2 Communication,Beaconing to C2 Infrastructure,TCP,HTTPS,Command and Control,Command & Control,0,65.61,Suspicious pattern,Suspicious,0,0,High,EDR,unknown,medium,impacted,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0,1,1,1,1,0.0,1,0
1032,evasion,Defense Evasion,Security Tool Disabled,UDP,DNS,Defense Evasion,Defense Evasion,0,8.0,unknown,No,0,5,High,SIEM,unknown,unknown,impacted,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,1,1,1,1,0.0,1,0
137255,intrusion_attempt,Initial Compromise,Unauthorized Initial Access Attempt,TCP,SSH,Initial Access,Initial Access,5,16.73,Confirmed malicious indicator,Yes,0,5,Low,EDR,unknown,critical,related,0.4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.2,0.28284271247461906,1,1,1,1,2.0,0,1
